Sidecar_ID,Capital_Allocated_USD,Expected_Return,Risk_Score
SC001,21854305.348131314,0.19408571676918995,8
SC002,31939631.788866647,0.0987222368530924,3
SC003,9498871.21181013,0.13510986703590405,5
SC004,32050175.528444394,0.1649687093355255,6
SC005,7538521.056219512,0.16663985267201897,6
SC006,5035044.462845645,0.19906538711494612,1
SC007,18690900.9331792,0.14297077179586853,9
SC008,18105311.308911886,0.15342234736668553,3
SC009,22210789.607022323,0.19798770629681461,9
SC010,7090268.5723998975,0.15290538222817263,5
